0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:33 +0900] "GET /cop/boot/* HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:40:39 +0900] "GET /cop/boot/* HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe1.jsp HTTP/1.1" 200 20238
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/fonts/NanumBarunGothic.woff HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe_files/sdk.js(1).%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe_files/sdk.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/Coffe_files/analytics.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/img/coffee/findWrap_bg.jpg HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:03 +0900] "GET /cop/boot/img/footer/footer_logo.png HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:40 +0900] "GET /cop/boot/rufrhk4.jsp HTTP/1.1" 200 14394
0:0:0:0:0:0:0:1 - - [02/Nov/2019:19:41:40 +0900] "GET /cop/boot/tkdvna_files/ac.js.%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C HTTP/1.1" 404 1100
